"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2010/01/01","00:00","-0.289","-","-0.5"
"2010/01/01","01:00","-0.427","-","-0.65"
"2010/01/01","02:00","-0.537","-","-0.76"
"2010/01/01","03:00","-0.588","-","-0.82"
"2010/01/01","04:00","-0.559","-","-0.81"
"2010/01/01","05:00","-0.448","-","-0.76"
"2010/01/01","06:00","-0.273","-","-0.57"
"2010/01/01","07:00","-0.067","-","-0.33"
"2010/01/01","08:00","0.13","-","-0.15"
"2010/01/01","09:00","0.277","-","-0.04"
"2010/01/01","10:00","0.347","-","0.07"
"2010/01/01","11:00","0.329","-","0.14"
"2010/01/01","12:00","0.234","-","0.1"
"2010/01/01","13:00","0.086","-","0.07"
"2010/01/01","14:00","-0.076","-","-0.01"
"2010/01/01","15:00","-0.213","-","0.13"
"2010/01/01","16:00","-0.296","-","0.08"
"2010/01/01","17:00","-0.31","-","0"
"2010/01/01","18:00","-0.261","-","0.06"
"2010/01/01","19:00","-0.169","-","0.12"
"2010/01/01","20:00","-0.068","-","0.15"
"2010/01/01","21:00","0.006","-","0.25"
"2010/01/01","22:00","0.025","-","0.28"
"2010/01/01","23:00","-0.024","-","0.37"
"2010/01/02","00:00","-0.135","-","0.27"
"2010/01/02","01:00","-0.284","-","0.22"
"2010/01/02","02:00","-0.436","-","0.17"
"2010/01/02","03:00","-0.55","-","0.1"
"2010/01/02","04:00","-0.595","-","0.14"
"2010/01/02","05:00","-0.553","-","0.12"
"2010/01/02","06:00","-0.429","-","0.16"
"2010/01/02","07:00","-0.245","-","0.34"
"2010/01/02","08:00","-0.038","-","0.45"
"2010/01/02","09:00","0.148","-","0.61"
"2010/01/02","10:00","0.275","-","0.75"
"2010/01/02","11:00","0.319","-","0.85"
"2010/01/02","12:00","0.274","-","0.87"
"2010/01/02","13:00","0.157","-","0.71"
"2010/01/02","14:00","-0.001","-","0.57"
"2010/01/02","15:00","-0.159","-","0.42"
"2010/01/02","16:00","-0.278","-","0.31"
"2010/01/02","17:00","-0.332","-","0.19"
"2010/01/02","18:00","-0.313","-","0.21"
"2010/01/02","19:00","-0.231","-","0.32"
"2010/01/02","20:00","-0.115","-","0.4"
"2010/01/02","21:00","-0.001","-","0.44"
"2010/01/02","22:00","0.073","-","0.57"
"2010/01/02","23:00","0.082","-","0.56"
"2010/01/03","00:00","0.017","-","0.44"
"2010/01/03","01:00","-0.11","-","0.34"
"2010/01/03","02:00","-0.271","-","0.15"
"2010/01/03","03:00","-0.425","-","-0.01"
"2010/01/03","04:00","-0.535","-","-0.23"
"2010/01/03","05:00","-0.57","-","-0.27"
"2010/01/03","06:00","-0.519","-","-0.25"
"2010/01/03","07:00","-0.389","-","-0.18"
"2010/01/03","08:00","-0.208","-","-0.01"
"2010/01/03","09:00","-0.015","-","0.13"
"2010/01/03","10:00","0.146","-","0.29"
"2010/01/03","11:00","0.242","-","0.39"
"2010/01/03","12:00","0.253","-","0.41"
"2010/01/03","13:00","0.183","-","0.38"
"2010/01/03","14:00","0.051","-","0.26"
"2010/01/03","15:00","-0.106","-","0.07"
"2010/01/03","16:00","-0.248","-","-0.1"
"2010/01/03","17:00","-0.338","-","-0.18"
"2010/01/03","18:00","-0.357","-","-0.23"
"2010/01/03","19:00","-0.303","-","-0.2"
"2010/01/03","20:00","-0.192","-","-0.08"
"2010/01/03","21:00","-0.058","-","-0.01"
"2010/01/03","22:00","0.061","-","0.14"
"2010/01/03","23:00","0.131","-","0.2"
"2010/01/04","00:00","0.13","-","0.24"
"2010/01/04","01:00","0.053","-","0.17"
"2010/01/04","02:00","-0.081","-","0.02"
"2010/01/04","03:00","-0.243","-","-0.07"
"2010/01/04","04:00","-0.391","-","-0.19"
"2010/01/04","05:00","-0.49","-","-0.32"
"2010/01/04","06:00","-0.514","-","-0.39"
"2010/01/04","07:00","-0.457","-","-0.34"
"2010/01/04","08:00","-0.332","-","-0.22"
"2010/01/04","09:00","-0.168","-","-0.06"
"2010/01/04","10:00","-0.004","-","0.04"
"2010/01/04","11:00","0.121","-","0.15"
"2010/01/04","12:00","0.179","-","0.21"
"2010/01/04","13:00","0.158","-","0.23"
"2010/01/04","14:00","0.066","-","0.1"
"2010/01/04","15:00","-0.07","-","-0.02"
"2010/01/04","16:00","-0.215","-","-0.17"
"2010/01/04","17:00","-0.331","-","-0.29"
"2010/01/04","18:00","-0.388","-","-0.39"
"2010/01/04","19:00","-0.371","-","-0.37"
"2010/01/04","20:00","-0.285","-","-0.31"
"2010/01/04","21:00","-0.153","-","-0.23"
"2010/01/04","22:00","-0.009","-","-0.13"
"2010/01/04","23:00","0.11","-","0.02"
"2010/01/05","00:00","0.174","-","0.07"
"2010/01/05","01:00","0.165","-","0.03"
"2010/01/05","02:00","0.084","-","-0.05"
"2010/01/05","03:00","-0.047","-","-0.15"
"2010/01/05","04:00","-0.199","-","-0.25"
"2010/01/05","05:00","-0.333","-","-0.42"
"2010/01/05","06:00","-0.417","-","-0.55"
"2010/01/05","07:00","-0.433","-","-0.6"
"2010/01/05","08:00","-0.378","-","-0.49"
"2010/01/05","09:00","-0.269","-","-0.41"
"2010/01/05","10:00","-0.133","-","-0.31"
"2010/01/05","11:00","-0.008","-","-0.18"
"2010/01/05","12:00","0.075","-","-0.04"
"2010/01/05","13:00","0.095","-","-0.03"
"2010/01/05","14:00","0.047","-","-0.07"
"2010/01/05","15:00","-0.057","-","-0.2"
"2010/01/05","16:00","-0.188","-","-0.21"
"2010/01/05","17:00","-0.313","-","-0.44"
"2010/01/05","18:00","-0.399","-","-0.56"
"2010/01/05","19:00","-0.422","-","-0.55"
"2010/01/05","20:00","-0.375","-","-0.53"
"2010/01/05","21:00","-0.267","-","-0.49"
"2010/01/05","22:00","-0.123","-","-0.38"
"2010/01/05","23:00","0.023","-","-0.22"
"2010/01/06","00:00","0.138","-","-0.13"
"2010/01/06","01:00","0.196","-","-0.08"
"2010/01/06","02:00","0.185","-","-0.08"
"2010/01/06","03:00","0.11","-","-0.13"
"2010/01/06","04:00","-0.009","-","-0.26"
"2010/01/06","05:00","-0.142","-","-0.37"
"2010/01/06","06:00","-0.257","-","-0.49"
"2010/01/06","07:00","-0.328","-","-0.63"
"2010/01/06","08:00","-0.34","-","-0.66"
"2010/01/06","09:00","-0.295","-","-0.6"
"2010/01/06","10:00","-0.21","-","-0.5"
"2010/01/06","11:00","-0.11","-","-0.44"
"2010/01/06","12:00","-0.027","-","-0.42"
"2010/01/06","13:00","0.016","-","-0.36"
"2010/01/06","14:00","0.004","-","-0.34"
"2010/01/06","15:00","-0.062","-","-0.44"
"2010/01/06","16:00","-0.167","-","-0.53"
"2010/01/06","17:00","-0.285","-","-0.63"
"2010/01/06","18:00","-0.386","-","-0.8"
"2010/01/06","19:00","-0.443","-","-0.83"
"2010/01/06","20:00","-0.439","-","-0.83"
"2010/01/06","21:00","-0.372","-","-0.78"
"2010/01/06","22:00","-0.254","-","-0.73"
"2010/01/06","23:00","-0.109","-","-0.58"
"2010/01/07","00:00","0.033","-","-0.42"
"2010/01/07","01:00","0.142","-","-0.27"
"2010/01/07","02:00","0.197","-","-0.25"
"2010/01/07","03:00","0.191","-","-0.22"
"2010/01/07","04:00","0.129","-","-0.17"
"2010/01/07","05:00","0.031","-","-0.27"
"2010/01/07","06:00","-0.08","-","-0.34"
"2010/01/07","07:00","-0.175","-","-0.38"
"2010/01/07","08:00","-0.235","-","-0.46"
"2010/01/07","09:00","-0.249","-","-0.46"
"2010/01/07","10:00","-0.221","-","-0.41"
"2010/01/07","11:00","-0.165","-","-0.35"
"2010/01/07","12:00","-0.102","-","-0.34"
"2010/01/07","13:00","-0.056","-","-0.2"
"2010/01/07","14:00","-0.045","-","-0.17"
"2010/01/07","15:00","-0.078","-","-0.16"
"2010/01/07","16:00","-0.15","-","-0.2"
"2010/01/07","17:00","-0.248","-","-0.31"
"2010/01/07","18:00","-0.349","-","-0.34"
"2010/01/07","19:00","-0.427","-","-0.42"
"2010/01/07","20:00","-0.462","-","-0.46"
"2010/01/07","21:00","-0.442","-","-0.45"
"2010/01/07","22:00","-0.368","-","-0.39"
"2010/01/07","23:00","-0.25","-","-0.26"
"2010/01/08","00:00","-0.112","-","-0.13"
"2010/01/08","01:00","0.021","-","0"
"2010/01/08","02:00","0.124","-","0.09"
"2010/01/08","03:00","0.182","-","0.11"
"2010/01/08","04:00","0.187","-","0.12"
"2010/01/08","05:00","0.144","-","0.13"
"2010/01/08","06:00","0.068","-","-0.02"
"2010/01/08","07:00","-0.021","-","-0.15"
"2010/01/08","08:00","-0.101","-","-0.23"
"2010/01/08","09:00","-0.156","-","-0.24"
"2010/01/08","10:00","-0.178","-","-0.23"
"2010/01/08","11:00","-0.169","-","-0.29"
"2010/01/08","12:00","-0.14","-","-0.34"
"2010/01/08","13:00","-0.108","-","-0.27"
"2010/01/08","14:00","-0.089","-","-0.35"
"2010/01/08","15:00","-0.096","-","-0.39"
"2010/01/08","16:00","-0.136","-","-0.39"
"2010/01/08","17:00","-0.205","-","-0.44"
